Coil;H12;W12;T5;T12;C;Mn;Si;V6;V7;V8;V9;V10;V11;V12;Sh7;Sh8;Sh9;Sh10;Sh11;Sh12;Ls;dH;P6;P7;P8;P9;P10;P11;P12;Lcamp;dH;R2;Clyn;Caim;Cfact;AntiPeel;Eddr;Edop;Axe;D10bot;D10top;D11bot;D11top;D12bot;D12top
218060;3,5;1388;1066;859;0,037;0,18;0,02;99;155;232;317;414;521;598;-65;-54;-74;-47;-55;-4;760,616;31;2217;2254;1714;1709;1601;1565;1012;17,773;49;0,87;6;35;45;0;150,21;111,95;-19;772,2;772,7;807,5;807,8;820,65;820,8
218061;3,19;1408;1064;860;0,037;0,18;0,02;100;160;244;338;445;565;649;-76;-39;-84;-12;-60;15;819,818;34;2338;2259;1820;1801;1709;1650;1053;18,526;47;0,9;-1;35;43;0;152,2;98,94;-13;772,2;772,7;807,5;807,8;820,65;820,8
218062;3,2;1408;1080;867;0,037;0,18;0,02;97;154;236;325;427;542;629;-72;-9;-84;-32;-60;13,01;824,147;32;2256;2188;1879;1732;1665;1605;1066;19,353;47;0,92;3;35;42;0;123,22;103,87;-10;772,2;772,7;807,5;807,8;820,65;820,8
218063;3,2;1409;1063;865;0,037;0,18;0,02;102;163;249;341;448;568;652;-74;-9;-84;-70;-60;33;821,84;32;2324;2233;1936;1712;1655;1611;1068;20,17;44;0,91;-4;35;39;0;143,17;104,15;-10;772,2;772,7;807,5;807,8;820,65;820,8
218064;3,19;1409;1069;866;0,037;0,18;0,02;102;162;247;339;445;564;647;-70;-9;-84;-51,99;-60;53;821,783;33;2275;2227;1887;1729;1645;1598;1077;20,999;44;0,92;5;35;40;0;145,1;102,1;-10;772,2;772,7;807,5;807,8;820,65;820,8
218065;2,49;1409;1069;867;0,04;0,2;0,016;98;166;267;376;508;653;756;-53;9;-44;-11,98;-60;84;893,266;42;2381;2427;1962;1878;1661;1529;1057;21,814;49;0,94;7;35;44;0;109,61;83,91;-4;772,2;772,7;807,5;807,8;820,65;820,8
218066;2,49;1405;1081;868;0,04;0,2;0,016;94;160;251;360;492;637;754;-53;17;-24;7;-60;64;896,275;41;2275;2353;1889;1910;1648;1515;1056;22,714;48;0,93;9;35;42;0;104,75;87,53;-8;772,2;772,7;807,5;807,8;820,65;820,8
218067;2,49;1404;1068;861;0,04;0,2;0,016;96;164;257;366;495;638;752;-56;22;-4;-22,98;-60;44;891,687;39;2340;2403;1900;1907;1702;1572;1049;23,604;47;0,93;12;35;40;0;108,62;89,89;-12;772,2;772,7;807,5;807,8;820,65;820,8
218068;2,49;1399;1074;864;0,04;0,2;0,016;96;164;258;367;498;639;759;2;26;-42;-42,98;-50;24;900,935;43;2290;2374;1899;1900;1673;1556;1038;24,502;56;0,97;21;35;45;0;125,02;83,59;-20;772,2;772,7;807,5;807,8;820,65;820,8
218069;2,49;1400;1072;864;0,04;0,2;0,016;96;163;254;365;496;640;750;11;29;-59;-44,98;-50;13;893,848;47;2296;2395;1921;1894;1633;1513;1033;25,395;53;0,96;19;35;43;0;132,39;89,89;-25;772,2;772,7;807,5;807,8;820,65;820,8
218070;2,49;1399;1078;867;0,04;0,2;0,016;95;161;253;361;496;638;754;11;30;-39;-25;-30;20;896,178;46;2240;2356;1905;1824;1591;1488;1025;26,297;57;0,95;24;35;44;0;133,94;86,51;-23;772,2;772,7;807,5;807,8;820,65;820,8
218071;2,49;1399;1067;864;0,05;0,18;0,02;98;166;262;373;501;640;753;6;27;-19;-4,99;-40;13;1055,418;46;2382;2448;1971;1864;1656;1536;1031;27,186;55;0,94;20;35;44;0;128,84;85,09;-25;772,2;772,7;807,5;807,8;820,65;820,8
218072;2,49;1398;1073;869;0,05;0,18;0,02;96;164;259;371;500;640;760;9;32;0;14;-50;33;1058,856;49;2318;2396;1938;1903;1620;1486;1040;28,249;59;0,96;20;35;48;0;129,55;80,2;-28;772,2;772,7;807,5;807,8;820,65;820,8
218073;2,49;1398;1069;866;0,05;0,18;0,02;99;168;264;374;501;639;752;9;29;-38;-3;-21;17;1057,713;48;2332;2429;1953;1897;1650;1526;1037;29,299;52;0,96;16;35;43;0;123,12;83,7;-24;772,2;772,7;807,5;807,8;820,65;820,8
218074;2,49;1397;1073;869;0,05;0,2;0,02;97;165;261;371;499;640;750;11;31;-58;-22,99;6;15;1061,876;46;2328;2404;1940;1800;1631;1533;1030;30,365;53;0,96;17;35;44;0;120,18;96,16;-21;772,2;772,7;807,5;807,8;820,65;820,8
218075;2,49;1397;1065;863;0,05;0,2;0,02;98;167;264;373;501;639;752;10;31;-59;-43;4;17;1056,429;47;2377;2440;1944;1695;1636;1555;1035;31,418;54;0,95;19;35;44;0;116,48;93,39;-24;772,2;772,7;807,5;807,8;820,65;820,8
218076;2,49;1397;1078;871;0,05;0,2;0,02;98;166;262;373;503;641;753;13;36;-39;-45;2;15;1064,207;49;2314;2365;1935;1796;1555;1498;1033;32,484;59;0,96;24;35;46;0;113,44;90,25;-24;772,2;772,7;807,5;807,8;820,65;820,8
218077;2,49;1397;1073;869;0,05;0,2;0,02;99;169;266;374;503;640;753;14;35;-19;-25;-25,99;17;1057,243;46;2339;2422;1930;1764;1572;1495;1039;33,538;55;0,96;20;35;44;0;111,25;96,18;-25;772,2;772,7;807,5;807,8;820,65;820,8
218078;2,49;1398;1067;866;0,05;0,2;0,02;99;168;265;375;505;642;754;14;34;0;-4,99;-6;15;1061,023;50;2330;2420;1958;1817;1583;1503;1041;34,605;59;0,96;29;35;44;0;128,92;89,36;-27;772,2;772,7;807,5;807,8;820,65;820,8
218079;2,49;1397;1066;864;0,05;0,2;0,02;98;167;263;373;500;640;753;11;50;20;14,01;-1;17;1056,366;47;2380;2445;1963;1796;1632;1537;1042;35,658;55;0,95;20;35;44;0;125,12;89,63;-28;772,2;772,7;807,5;807,8;820,65;820,8
218080;2,49;1380;1077;868;0,04;0,2;0,011;96;163;257;367;494;635;758;6;49;15;36,01;-33;17;920,143;51;2182;2305;1824;1870;1546;1500;1000;36,722;65;0,96;27;35;50;0;135,11;88,55;-30;772,2;772,7;807,5;807,8;820,65;820,8
218081;2,49;1379;1074;865;0,04;0,2;0,011;99;166;263;376;502;642;754;2;45;-29;16;-4;15;903,018;45;2145;2327;1871;1840;1528;1516;1010;37,643;53;0,96;17;35;43;0;126,47;84,93;-26;772,2;772,7;807,5;807,8;820,65;820,8
218082;2,49;1379;1065;860;0,04;0,2;0,011;100;168;263;375;503;640;753;0;43;-49;-2;-7;8;915,687;43;2199;2366;1881;1781;1527;1529;989;38,546;50;0,96;16;35;42;0;130,91;92,84;-22;772,2;772,7;807,5;807,8;820,65;820,8
218083;2,49;1378;1067;861;0,04;0,2;0,011;98;164;258;372;498;638;748;1;46;-59;-21,99;-33;24;918,884;42;2233;2376;1892;1793;1489;1510;1013;39,454;51;0,95;20;35;39;0;116,1;93,53;-22;772,2;772,7;807,5;807,8;820,65;820,8
218084;2,49;1377;1080;868;0,04;0,2;0,011;98;165;258;374;502;639;754;4;49;-39;-42;-33;17;915,816;48;2106;2317;1856;1778;1417;1446;999;40,38;57;0,96;25;35;43;0;120,83;88,54;-26;772,2;772,7;807,5;807,8;820,65;820,8
218085;2,49;1376;1082;870;0,04;0,19;0,014;96;163;256;369;496;634;758;3;47;-19;-44,99;-33;15;921,389;45;2140;2298;1847;1719;1423;1446;1007;41,288;49;0,95;20;35;39;0;101,57;96,46;-25;772,2;772,7;807,5;807,8;820,65;820,8
218086;2,49;1379;1068;861;0,04;0,19;0,014;98;166;262;374;501;638;753;7;49;0;-25;-4;8;913,331;47;2211;2341;1874;1708;1476;1503;1002;42,217;51;0,95;19;35;41;0;129,04;98,82;-17;772,2;772,7;807,5;807,8;820,65;820,8
218087;2,49;1377;1073;863;0,04;0,19;0,014;97;164;259;372;501;638;752;8;50;20;-5;-12;24;916,244;41;2179;2318;1849;1837;1448;1441;1008;43,124;50;0,95;18;35;40;0;105,2;100,68;-22;772,2;772,7;807,5;807,8;820,65;820,8
218088;2,49;1377;1079;863;0,04;0,19;0,014;97;165;259;375;500;638;751;7;50;25;14,01;-33;8;921,368;48;2177;2329;1859;1806;1432;1431;995;44,047;54;0,96;25;35;41;0;122,96;100,05;-25;772,2;772,7;807,5;807,8;820,65;820,8
218089;2,49;1377;1081;865;0,04;0,19;0,014;99;167;261;374;501;638;753;12;50;5;34;-33;15;914,792;41;2160;2323;1846;1682;1498;1468;1002;44,959;53;0,95;18;35;43;0;114,1;100,14;-20;772,2;772,7;807,5;807,8;820,65;820,8
218090;2,49;1379;1069;857;0,04;0,19;0,014;99;167;262;377;502;638;753;9;37;-14;17,01;-3;17;912,535;38;2232;2328;1875;1655;1535;1517;1007;45,883;50;0,94;15;35;42;0;124,48;106,33;-16;772,2;772,7;807,5;807,8;820,65;820,8
218091;2,49;1376;1074;860;0,04;0,19;0,014;99;168;264;376;501;640;755;13;41;-34;-1;-21,99;15;920,546;38;2230;2334;1852;1644;1497;1481;993;46,788;43;0,94;13;35;36;0;111,99;110,9;-18;772,2;772,7;807,5;807,8;820,65;820,8
218092;2,48;1302;1065;860;0,04;0,27;0,02;94;160;253;369;495;635;752;-22;10;-59;-45;-22;-6;1029,89;34;2235;2394;1916;1813;1455;1496;1060;47,716;44;0,94;13;35;36;15;128,43;87,5;-15;772,2;772,7;807,5;807,8;820,65;820,8
218093;2,49;1303;1070;858;0,04;0,27;0,02;94;162;255;372;498;637;758;-27;14;-39;-24,99;-22;-4;1013,747;38;2209;2336;1874;1908;1436;1497;1067;48,746;46;0,95;16;35;37;15;124,34;86,66;-17;772,2;772,7;807,5;807,8;820,65;820,8
218094;2,5;1303;1057;853;0,04;0,27;0,02;97;165;260;378;502;638;751;-31;10;-19;-36,99;-22;2;1023,246;38;2264;2416;1924;1818;1560;1615;1077;49,76;45;0,94;20;35;34;15;127,45;83,95;-27;772,2;772,7;807,5;807,8;820,65;820,8
218095;2,5;1303;1059;853;0,04;0,27;0,02;97;167;263;377;503;641;752;-29;9;-10;-45;-21,99;-4;1027,632;33;2282;2450;1918;1824;1600;1570;1064;50,772;42;0,92;17;35;33;15;130,64;78,8;-25;772,2;772,7;807,5;807,8;820,65;820,8
218096;2,5;1302;1070;857;0,04;0,27;0,02;97;166;261;377;503;639;756;-28;57;-30;-24,99;-22;2;1027,837;35;2200;2403;1878;1729;1571;1524;1071;51,811;45;0,93;11;35;38;15;124,14;82,25;-18;772,2;772,7;807,5;807,8;820,65;820,8
218097;2,5;1303;1069;858;0,04;0,27;0,02;98;168;265;380;506;640;752;-27;57;-44;-4,99;-20;-4;1025,163;35;2179;2370;1863;1719;1594;1518;1067;52,839;45;0,93;11;35;38;15;129,53;91,44;-19;772,2;772,7;807,5;807,8;820,65;820,8
218098;2,5;1304;1055;853;0,04;0,27;0,02;97;166;263;377;502;637;758;-29;13;-24;-34,99;-22;2;1022,355;30;2229;2431;1917;1787;1667;1588;1072;53,864;40;0,92;12;35;32;15;126,41;96,87;-19;772,2;772,7;807,5;807,8;820,65;820,8
